,lemma,next-lemma,next-next-lemma,next-next-pos,next-next-shape,next-next-word,next-pos,next-shape,next-word,pos,prev-iob,prev-lemma,prev-pos,prev-prev-iob,prev-prev-lemma,prev-prev-pos,prev-prev-shape,prev-prev-word,prev-shape,prev-word,sentence_idx,shape,word,tag
5476,accus,troop,of,IN,lowercase,of,NNS,lowercase,troops,VBD,O,also,RB,O,group,NN,lowercase,group,lowercase,also,247,lowercase,accused,O
5477,troop,of,fail,VBG,lowercase,failing,IN,lowercase,of,NNS,O,accus,VBD,O,also,RB,lowercase,also,lowercase,accused,247,lowercase,troops,O
5478,of,fail,to,TO,lowercase,to,VBG,lowercase,failing,IN,O,troop,NNS,O,accus,VBD,lowercase,accused,lowercase,troops,247,lowercase,of,O
5479,fail,to,stop,VB,lowercase,stop,TO,lowercase,to,VBG,O,of,IN,O,troop,NNS,lowercase,troops,lowercase,of,247,lowercase,failing,O
5480,to,stop,peopl,NNS,lowercase,people,VB,lowercase,stop,TO,O,fail,VBG,O,of,IN,lowercase,of,lowercase,failing,247,lowercase,to,O
5481,stop,peopl,from,IN,lowercase,from,NNS,lowercase,people,VB,O,to,TO,O,fail,VBG,lowercase,failing,lowercase,to,247,lowercase,stop,O
5482,peopl,from,damag,VBG,lowercase,damaging,IN,lowercase,from,NNS,O,stop,VB,O,to,TO,lowercase,to,lowercase,stop,247,lowercase,people,O
5483,from,damag,sever,JJ,lowercase,several,VBG,lowercase,damaging,IN,O,peopl,NNS,O,stop,VB,lowercase,stop,lowercase,people,247,lowercase,from,O
5484,damag,sever,mass,NN,lowercase,mass,JJ,lowercase,several,VBG,O,from,IN,O,peopl,NNS,lowercase,people,lowercase,from,247,lowercase,damaging,O
5485,sever,mass,grave,NNS,lowercase,graves,NN,lowercase,mass,JJ,O,damag,VBG,O,from,IN,lowercase,from,lowercase,damaging,247,lowercase,several,O
5486,mass,grave,in,IN,lowercase,in,NNS,lowercase,graves,NN,O,sever,JJ,O,damag,VBG,lowercase,damaging,lowercase,several,247,lowercase,mass,O
5487,grave,in,the,DT,lowercase,the,IN,lowercase,in,NNS,O,mass,NN,O,sever,JJ,lowercase,several,lowercase,mass,247,lowercase,graves,O
5488,in,the,war-torn,JJ,contains-hyphen,war-torn,DT,lowercase,the,IN,O,grave,NNS,O,mass,NN,lowercase,mass,lowercase,graves,247,lowercase,in,O
5489,the,war-torn,countri,NN,lowercase,country,JJ,contains-hyphen,war-torn,DT,O,in,IN,O,grave,NNS,lowercase,graves,lowercase,in,247,lowercase,the,O
5490,war-torn,countri,.,.,punct,.,NN,lowercase,country,JJ,O,the,DT,O,in,IN,lowercase,in,lowercase,the,247,contains-hyphen,war-torn,O
5491,countri,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NN,O,war-torn,JJ,O,the,DT,lowercase,the,contains-hyphen,war-torn,247,lowercase,country,O
5492,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,countri,NN,O,war-torn,JJ,contains-hyphen,war-torn,lowercase,country,247,punct,.,O
5493,the,associ,press,NNP,capitalized,Press,NNP,capitalized,Associated,DT,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,248,capitalized,The,O
5494,associ,press,quot,VBZ,lowercase,quotes,NNP,capitalized,Press,NNP,O,the,DT,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,The,248,capitalized,Associated,B-org
5495,press,quot,a,DT,lowercase,a,VBZ,lowercase,quotes,NNP,B-org,associ,NNP,O,the,DT,capitalized,The,capitalized,Associated,248,capitalized,Press,I-org
5496,quot,a,u.s.,NNP,abbreviation,U.S.,DT,lowercase,a,VBZ,I-org,press,NNP,B-org,associ,NNP,capitalized,Associated,capitalized,Press,248,lowercase,quotes,O
5497,a,u.s.,defens,NNP,capitalized,Defense,NNP,abbreviation,U.S.,DT,O,quot,VBZ,I-org,press,NNP,capitalized,Press,lowercase,quotes,248,lowercase,a,O
5498,u.s.,defens,depart,NNP,capitalized,Department,NNP,capitalized,Defense,NNP,O,a,DT,O,quot,VBZ,lowercase,quotes,lowercase,a,248,abbreviation,U.S.,B-gpe
5499,defens,depart,spokeswoman,NN,lowercase,spokeswoman,NNP,capitalized,Department,NNP,B-gpe,u.s.,NNP,O,a,DT,lowercase,a,abbreviation,U.S.,248,capitalized,Defense,B-org
5500,depart,spokeswoman,as,IN,lowercase,as,NN,lowercase,spokeswoman,NNP,B-org,defens,NNP,B-gpe,u.s.,NNP,abbreviation,U.S.,capitalized,Defense,248,capitalized,Department,I-org
5501,spokeswoman,as,say,VBG,lowercase,saying,IN,lowercase,as,NN,I-org,depart,NNP,B-org,defens,NNP,capitalized,Defense,capitalized,Department,248,lowercase,spokeswoman,O
5502,as,say,it,PRP,lowercase,it,VBG,lowercase,saying,IN,O,spokeswoman,NN,I-org,depart,NNP,capitalized,Department,lowercase,spokeswoman,248,lowercase,as,O
5503,say,it,has,VBZ,lowercase,has,PRP,lowercase,it,VBG,O,as,IN,O,spokeswoman,NN,lowercase,spokeswoman,lowercase,as,248,lowercase,saying,O
5504,it,has,not,RB,lowercase,not,VBZ,lowercase,has,PRP,O,say,VBG,O,as,IN,lowercase,as,lowercase,saying,248,lowercase,it,O
5505,has,not,review,VBN,lowercase,reviewed,RB,lowercase,not,VBZ,O,it,PRP,O,say,VBG,lowercase,saying,lowercase,it,248,lowercase,has,O
5506,not,review,the,DT,lowercase,the,VBN,lowercase,reviewed,RB,O,has,VBZ,O,it,PRP,lowercase,it,lowercase,has,248,lowercase,not,O
5507,review,the,report,NN,lowercase,report,DT,lowercase,the,VBN,O,not,RB,O,has,VBZ,lowercase,has,lowercase,not,248,lowercase,reviewed,O
5508,the,report,.,.,punct,.,NN,lowercase,report,DT,O,review,VBN,O,not,RB,lowercase,not,lowercase,reviewed,248,lowercase,the,O
5509,report,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NN,O,the,DT,O,review,VBN,lowercase,reviewed,lowercase,the,248,lowercase,report,O
5510,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,report,NN,O,the,DT,lowercase,the,lowercase,report,248,punct,.,O
5511,saddam,hussein,was,VBD,lowercase,was,NNP,capitalized,Hussein,NNP,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,249,capitalized,Saddam,B-per
5512,hussein,was,arraign,VBN,lowercase,arraigned,VBD,lowercase,was,NNP,B-per,saddam,NNP,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,Saddam,249,capitalized,Hussein,I-per
5513,was,arraign,in,IN,lowercase,in,VBN,lowercase,arraigned,VBD,I-per,hussein,NNP,B-per,saddam,NNP,capitalized,Saddam,capitalized,Hussein,249,lowercase,was,O
5514,arraign,in,juli,NNP,capitalized,July,IN,lowercase,in,VBN,O,was,VBD,I-per,hussein,NNP,capitalized,Hussein,lowercase,was,249,lowercase,arraigned,O
5515,in,juli,at,IN,lowercase,at,NNP,capitalized,July,IN,O,arraign,VBN,O,was,VBD,lowercase,was,lowercase,arraigned,249,lowercase,in,O
5516,juli,at,a,DT,lowercase,a,IN,lowercase,at,NNP,O,in,IN,O,arraign,VBN,lowercase,arraigned,lowercase,in,249,capitalized,July,B-tim
5517,at,a,u.s.,NNP,abbreviation,U.S.,DT,lowercase,a,IN,B-tim,juli,NNP,O,in,IN,lowercase,in,capitalized,July,249,lowercase,at,O
5518,a,u.s.,militari,NN,lowercase,military,NNP,abbreviation,U.S.,DT,O,at,IN,B-tim,juli,NNP,capitalized,July,lowercase,at,249,lowercase,a,O
5519,u.s.,militari,base,NN,lowercase,base,NN,lowercase,military,NNP,O,a,DT,O,at,IN,lowercase,at,lowercase,a,249,abbreviation,U.S.,B-gpe
5520,militari,base,on,IN,lowercase,on,NN,lowercase,base,NN,B-gpe,u.s.,NNP,O,a,DT,lowercase,a,abbreviation,U.S.,249,lowercase,military,O
5521,base,on,the,DT,lowercase,the,IN,lowercase,on,NN,O,militari,NN,B-gpe,u.s.,NNP,abbreviation,U.S.,lowercase,military,249,lowercase,base,O
5522,on,the,outskirt,NNS,lowercase,outskirts,DT,lowercase,the,IN,O,base,NN,O,militari,NN,lowercase,military,lowercase,base,249,lowercase,on,O
5523,the,outskirt,of,IN,lowercase,of,NNS,lowercase,outskirts,DT,O,on,IN,O,base,NN,lowercase,base,lowercase,on,249,lowercase,the,O
5524,outskirt,of,baghdad,NNP,capitalized,Baghdad,IN,lowercase,of,NNS,O,the,DT,O,on,IN,lowercase,on,lowercase,the,249,lowercase,outskirts,O
5525,of,baghdad,.,.,punct,.,NNP,capitalized,Baghdad,IN,O,outskirt,NNS,O,the,DT,lowercase,the,lowercase,outskirts,249,lowercase,of,O
5526,baghdad,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NNP,O,of,IN,O,outskirt,NNS,lowercase,outskirts,lowercase,of,249,capitalized,Baghdad,B-geo
5527,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,B-geo,baghdad,NNP,O,of,IN,lowercase,of,capitalized,Baghdad,249,punct,.,O
5528,he,face,charg,NNS,lowercase,charges,VBZ,lowercase,faces,PRP,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,250,capitalized,He,O
5529,face,charg,of,IN,lowercase,of,NNS,lowercase,charges,VBZ,O,he,PRP,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,He,250,lowercase,faces,O
5530,charg,of,war,NN,lowercase,war,IN,lowercase,of,NNS,O,face,VBZ,O,he,PRP,capitalized,He,lowercase,faces,250,lowercase,charges,O
5531,of,war,crime,NNS,lowercase,crimes,NN,lowercase,war,IN,O,charg,NNS,O,face,VBZ,lowercase,faces,lowercase,charges,250,lowercase,of,O
5532,war,crime,",",",",punct,",",NNS,lowercase,crimes,NN,O,of,IN,O,charg,NNS,lowercase,charges,lowercase,of,250,lowercase,war,O
5533,crime,",",genocid,NN,lowercase,genocide,",",punct,",",NNS,O,war,NN,O,of,IN,lowercase,of,lowercase,war,250,lowercase,crimes,O
5534,",",genocid,and,CC,lowercase,and,NN,lowercase,genocide,",",O,crime,NNS,O,war,NN,lowercase,war,lowercase,crimes,250,punct,",",O
5535,genocid,and,crime,NNS,lowercase,crimes,CC,lowercase,and,NN,O,",",",",O,crime,NNS,lowercase,crimes,punct,",",250,lowercase,genocide,O
5536,and,crime,against,IN,lowercase,against,NNS,lowercase,crimes,CC,O,genocid,NN,O,",",",",punct,",",lowercase,genocide,250,lowercase,and,O
5537,crime,against,human,NN,lowercase,humanity,IN,lowercase,against,NNS,O,and,CC,O,genocid,NN,lowercase,genocide,lowercase,and,250,lowercase,crimes,O
5538,against,human,.,.,punct,.,NN,lowercase,humanity,IN,O,crime,NNS,O,and,CC,lowercase,and,lowercase,crimes,250,lowercase,against,O
5539,human,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NN,O,against,IN,O,crime,NNS,lowercase,crimes,lowercase,against,250,lowercase,humanity,O
5540,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,human,NN,O,against,IN,lowercase,against,lowercase,humanity,250,punct,.,O
5541,egypt,'s,govern,NN,lowercase,government,POS,other,'s,NNP,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,251,capitalized,Egypt,B-gpe
5542,'s,govern,and,CC,lowercase,and,NN,lowercase,government,POS,B-gpe,egypt,NNP,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,Egypt,251,other,'s,O
5543,govern,and,the,DT,lowercase,the,CC,lowercase,and,NN,O,'s,POS,B-gpe,egypt,NNP,capitalized,Egypt,other,'s,251,lowercase,government,O
5544,and,the,world,NNP,capitalized,World,DT,lowercase,the,CC,O,govern,NN,O,'s,POS,other,'s,lowercase,government,251,lowercase,and,O
5545,the,world,health,NNP,capitalized,Health,NNP,capitalized,World,DT,O,and,CC,O,govern,NN,lowercase,government,lowercase,and,251,lowercase,the,O
5546,world,health,organ,NNP,capitalized,Organization,NNP,capitalized,Health,NNP,O,the,DT,O,and,CC,lowercase,and,lowercase,the,251,capitalized,World,B-org
5547,health,organ,say,VBP,lowercase,say,NNP,capitalized,Organization,NNP,B-org,world,NNP,O,the,DT,lowercase,the,capitalized,World,251,capitalized,Health,I-org
5548,organ,say,three,CD,lowercase,three,VBP,lowercase,say,NNP,I-org,health,NNP,B-org,world,NNP,capitalized,World,capitalized,Health,251,capitalized,Organization,I-org
5549,say,three,egyptian,JJ,capitalized,Egyptian,CD,lowercase,three,VBP,I-org,organ,NNP,I-org,health,NNP,capitalized,Health,capitalized,Organization,251,lowercase,say,O
5550,three,egyptian,children,NNS,lowercase,children,JJ,capitalized,Egyptian,CD,O,say,VBP,I-org,organ,NNP,capitalized,Organization,lowercase,say,251,lowercase,three,O
5551,egyptian,children,have,VBP,lowercase,have,NNS,lowercase,children,JJ,O,three,CD,O,say,VBP,lowercase,say,lowercase,three,251,capitalized,Egyptian,B-gpe
5552,children,have,been,VBN,lowercase,been,VBP,lowercase,have,NNS,B-gpe,egyptian,JJ,O,three,CD,lowercase,three,capitalized,Egyptian,251,lowercase,children,O
5553,have,been,hospit,VBN,lowercase,hospitalized,VBN,lowercase,been,VBP,O,children,NNS,B-gpe,egyptian,JJ,capitalized,Egyptian,lowercase,children,251,lowercase,have,O
5554,been,hospit,with,IN,lowercase,with,VBN,lowercase,hospitalized,VBN,O,have,VBP,O,children,NNS,lowercase,children,lowercase,have,251,lowercase,been,O
5555,hospit,with,the,DT,lowercase,the,IN,lowercase,with,VBN,O,been,VBN,O,have,VBP,lowercase,have,lowercase,been,251,lowercase,hospitalized,O
5556,with,the,dead,JJ,lowercase,deadly,DT,lowercase,the,IN,O,hospit,VBN,O,been,VBN,lowercase,been,lowercase,hospitalized,251,lowercase,with,O
5557,the,dead,form,NN,lowercase,form,JJ,lowercase,deadly,DT,O,with,IN,O,hospit,VBN,lowercase,hospitalized,lowercase,with,251,lowercase,the,O
5558,dead,form,of,IN,lowercase,of,NN,lowercase,form,JJ,O,the,DT,O,with,IN,lowercase,with,lowercase,the,251,lowercase,deadly,O
5559,form,of,avian,JJ,lowercase,avian,IN,lowercase,of,NN,O,dead,JJ,O,the,DT,lowercase,the,lowercase,deadly,251,lowercase,form,O
5560,of,avian,flu,NN,lowercase,flu,JJ,lowercase,avian,IN,O,form,NN,O,dead,JJ,lowercase,deadly,lowercase,form,251,lowercase,of,O
5561,avian,flu,.,.,punct,.,NN,lowercase,flu,JJ,O,of,IN,O,form,NN,lowercase,form,lowercase,of,251,lowercase,avian,O
5562,flu,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NN,O,avian,JJ,O,of,IN,lowercase,of,lowercase,avian,251,lowercase,flu,O
5563,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,flu,NN,O,avian,JJ,lowercase,avian,lowercase,flu,251,punct,.,O
5564,the,children,come,VBP,lowercase,come,NNS,lowercase,children,DT,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,252,capitalized,The,O
5565,children,come,from,IN,lowercase,from,VBP,lowercase,come,NNS,O,the,DT,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,The,252,lowercase,children,O
5566,come,from,differ,JJ,lowercase,different,IN,lowercase,from,VBP,O,children,NNS,O,the,DT,capitalized,The,lowercase,children,252,lowercase,come,O
5567,from,differ,part,NNS,lowercase,parts,JJ,lowercase,different,IN,O,come,VBP,O,children,NNS,lowercase,children,lowercase,come,252,lowercase,from,O
5568,differ,part,of,IN,lowercase,of,NNS,lowercase,parts,JJ,O,from,IN,O,come,VBP,lowercase,come,lowercase,from,252,lowercase,different,O
5569,part,of,the,DT,lowercase,the,IN,lowercase,of,NNS,O,differ,JJ,O,from,IN,lowercase,from,lowercase,different,252,lowercase,parts,O
5570,of,the,countri,NN,lowercase,country,DT,lowercase,the,IN,O,part,NNS,O,differ,JJ,lowercase,different,lowercase,parts,252,lowercase,of,O
5571,the,countri,.,.,punct,.,NN,lowercase,country,DT,O,of,IN,O,part,NNS,lowercase,parts,lowercase,of,252,lowercase,the,O
5572,countri,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NN,O,the,DT,O,of,IN,lowercase,of,lowercase,the,252,lowercase,country,O
5573,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,countri,NN,O,the,DT,lowercase,the,lowercase,country,252,punct,.,O
5574,who,say,they,PRP,lowercase,they,VBZ,lowercase,says,NNP,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,253,uppercase,WHO,B-org
5575,say,they,are,VBP,lowercase,are,PRP,lowercase,they,VBZ,B-org,who,NNP,__START1__,__start1__,__START1__,wildcard,__START1__,uppercase,WHO,253,lowercase,says,O
5576,they,are,receiv,VBG,lowercase,receiving,VBP,lowercase,are,PRP,O,say,VBZ,B-org,who,NNP,uppercase,WHO,lowercase,says,253,lowercase,they,O
5577,are,receiv,treatment,NN,lowercase,treatment,VBG,lowercase,receiving,VBP,O,they,PRP,O,say,VBZ,lowercase,says,lowercase,they,253,lowercase,are,O
5578,receiv,treatment,and,CC,lowercase,and,NN,lowercase,treatment,VBG,O,are,VBP,O,they,PRP,lowercase,they,lowercase,are,253,lowercase,receiving,O
5579,treatment,and,are,VBP,lowercase,are,CC,lowercase,and,NN,O,receiv,VBG,O,are,VBP,lowercase,are,lowercase,receiving,253,lowercase,treatment,O
5580,and,are,in,IN,lowercase,in,VBP,lowercase,are,CC,O,treatment,NN,O,receiv,VBG,lowercase,receiving,lowercase,treatment,253,lowercase,and,O
5581,are,in,stabl,JJ,lowercase,stable,IN,lowercase,in,VBP,O,and,CC,O,treatment,NN,lowercase,treatment,lowercase,and,253,lowercase,are,O
5582,in,stabl,condit,NN,lowercase,condition,JJ,lowercase,stable,IN,O,are,VBP,O,and,CC,lowercase,and,lowercase,are,253,lowercase,in,O
5583,stabl,condit,.,.,punct,.,NN,lowercase,condition,JJ,O,in,IN,O,are,VBP,lowercase,are,lowercase,in,253,lowercase,stable,O
5584,condit,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NN,O,stabl,JJ,O,in,IN,lowercase,in,lowercase,stable,253,lowercase,condition,O
5585,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,condit,NN,O,stabl,JJ,lowercase,stable,lowercase,condition,253,punct,.,O
5586,the,organ,say,VBZ,lowercase,says,NN,lowercase,organization,DT,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,254,capitalized,The,O
5587,organ,say,the,DT,lowercase,the,VBZ,lowercase,says,NN,O,the,DT,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,The,254,lowercase,organization,O
5588,say,the,children,NNS,lowercase,children,DT,lowercase,the,VBZ,O,organ,NN,O,the,DT,capitalized,The,lowercase,organization,254,lowercase,says,O
5589,the,children,had,VBD,lowercase,had,NNS,lowercase,children,DT,O,say,VBZ,O,organ,NN,lowercase,organization,lowercase,says,254,lowercase,the,O
5590,children,had,a,DT,lowercase,a,VBD,lowercase,had,NNS,O,the,DT,O,say,VBZ,lowercase,says,lowercase,the,254,lowercase,children,O
5591,had,a,histori,NN,lowercase,history,DT,lowercase,a,VBD,O,children,NNS,O,the,DT,lowercase,the,lowercase,children,254,lowercase,had,O
5592,a,histori,of,IN,lowercase,of,NN,lowercase,history,DT,O,had,VBD,O,children,NNS,lowercase,children,lowercase,had,254,lowercase,a,O
5593,histori,of,contact,NN,lowercase,contact,IN,lowercase,of,NN,O,a,DT,O,had,VBD,lowercase,had,lowercase,a,254,lowercase,history,O
5594,of,contact,with,IN,lowercase,with,NN,lowercase,contact,IN,O,histori,NN,O,a,DT,lowercase,a,lowercase,history,254,lowercase,of,O
5595,contact,with,dead,JJ,lowercase,dead,IN,lowercase,with,NN,O,of,IN,O,histori,NN,lowercase,history,lowercase,of,254,lowercase,contact,O
5596,with,dead,bird,NNS,lowercase,birds,JJ,lowercase,dead,IN,O,contact,NN,O,of,IN,lowercase,of,lowercase,contact,254,lowercase,with,O
5597,dead,bird,.,.,punct,.,NNS,lowercase,birds,JJ,O,with,IN,O,contact,NN,lowercase,contact,lowercase,with,254,lowercase,dead,O
5598,bird,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NNS,O,dead,JJ,O,with,IN,lowercase,with,lowercase,dead,254,lowercase,birds,O
5599,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,bird,NNS,O,dead,JJ,lowercase,dead,lowercase,birds,254,punct,.,O
5600,thirti,two,egyptian,NNS,capitalized,Egyptians,CD,lowercase,two,CD,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,255,capitalized,Thirty,O
5601,two,egyptian,have,VBP,lowercase,have,NNS,capitalized,Egyptians,CD,O,thirti,CD,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,Thirty,255,lowercase,two,O
5602,egyptian,have,contract,VBN,lowercase,contracted,VBP,lowercase,have,NNS,O,two,CD,O,thirti,CD,capitalized,Thirty,lowercase,two,255,capitalized,Egyptians,B-gpe
5603,have,contract,the,DT,lowercase,the,VBN,lowercase,contracted,VBP,B-gpe,egyptian,NNS,O,two,CD,lowercase,two,capitalized,Egyptians,255,lowercase,have,O
5604,contract,the,h5n1,NNP,other,H5N1,DT,lowercase,the,VBN,O,have,VBP,B-gpe,egyptian,NNS,capitalized,Egyptians,lowercase,have,255,lowercase,contracted,O
5605,the,h5n1,form,NN,lowercase,form,NNP,other,H5N1,DT,O,contract,VBN,O,have,VBP,lowercase,have,lowercase,contracted,255,lowercase,the,O
5606,h5n1,form,of,IN,lowercase,of,NN,lowercase,form,NNP,O,the,DT,O,contract,VBN,lowercase,contracted,lowercase,the,255,other,H5N1,B-nat
5607,form,of,avian,JJ,lowercase,avian,IN,lowercase,of,NN,B-nat,h5n1,NNP,O,the,DT,lowercase,the,other,H5N1,255,lowercase,form,O
5608,of,avian,flu,NN,lowercase,flu,JJ,lowercase,avian,IN,O,form,NN,B-nat,h5n1,NNP,other,H5N1,lowercase,form,255,lowercase,of,O
5609,avian,flu,.,.,punct,.,NN,lowercase,flu,JJ,O,of,IN,O,form,NN,lowercase,form,lowercase,of,255,lowercase,avian,O
5610,flu,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NN,O,avian,JJ,O,of,IN,lowercase,of,lowercase,avian,255,lowercase,flu,O
5611,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,flu,NN,O,avian,JJ,lowercase,avian,lowercase,flu,255,punct,.,O
5612,thirteen,of,them,PRP,lowercase,them,IN,lowercase,of,CD,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,256,capitalized,Thirteen,O
5613,of,them,have,VBP,lowercase,have,PRP,lowercase,them,IN,O,thirteen,CD,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,Thirteen,256,lowercase,of,O
5614,them,have,die,VBN,lowercase,died,VBP,lowercase,have,PRP,O,of,IN,O,thirteen,CD,capitalized,Thirteen,lowercase,of,256,lowercase,them,O
5615,have,die,.,.,punct,.,VBN,lowercase,died,VBP,O,them,PRP,O,of,IN,lowercase,of,lowercase,them,256,lowercase,have,O
5616,die,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,VBN,O,have,VBP,O,them,PRP,lowercase,them,lowercase,have,256,lowercase,died,O
5617,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,die,VBN,O,have,VBP,lowercase,have,lowercase,died,256,punct,.,O
5618,egypt,has,had,VBN,lowercase,had,VBZ,lowercase,has,NNP,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,257,capitalized,Egypt,B-geo
5619,has,had,the,DT,lowercase,the,VBN,lowercase,had,VBZ,B-geo,egypt,NNP,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,Egypt,257,lowercase,has,O
5620,had,the,largest,JJS,lowercase,largest,DT,lowercase,the,VBN,O,has,VBZ,B-geo,egypt,NNP,capitalized,Egypt,lowercase,has,257,lowercase,had,O
5621,the,largest,number,NN,lowercase,number,JJS,lowercase,largest,DT,O,had,VBN,O,has,VBZ,lowercase,has,lowercase,had,257,lowercase,the,O
5622,largest,number,of,IN,lowercase,of,NN,lowercase,number,JJS,O,the,DT,O,had,VBN,lowercase,had,lowercase,the,257,lowercase,largest,O
5623,number,of,human,JJ,lowercase,human,IN,lowercase,of,NN,O,largest,JJS,O,the,DT,lowercase,the,lowercase,largest,257,lowercase,number,O
5624,of,human,bird,NN,lowercase,bird,JJ,lowercase,human,IN,O,number,NN,O,largest,JJS,lowercase,largest,lowercase,number,257,lowercase,of,O
5625,human,bird,flu,NN,lowercase,flu,NN,lowercase,bird,JJ,O,of,IN,O,number,NN,lowercase,number,lowercase,of,257,lowercase,human,O
5626,bird,flu,case,NNS,lowercase,cases,NN,lowercase,flu,NN,O,human,JJ,O,of,IN,lowercase,of,lowercase,human,257,lowercase,bird,O
5627,flu,case,outsid,IN,lowercase,outside,NNS,lowercase,cases,NN,O,bird,NN,O,human,JJ,lowercase,human,lowercase,bird,257,lowercase,flu,O
5628,case,outsid,of,IN,lowercase,of,IN,lowercase,outside,NNS,O,flu,NN,O,bird,NN,lowercase,bird,lowercase,flu,257,lowercase,cases,O
5629,outsid,of,asia,NNP,capitalized,Asia,IN,lowercase,of,IN,O,case,NNS,O,flu,NN,lowercase,flu,lowercase,cases,257,lowercase,outside,O
5630,of,asia,.,.,punct,.,NNP,capitalized,Asia,IN,O,outsid,IN,O,case,NNS,lowercase,cases,lowercase,outside,257,lowercase,of,O
5631,asia,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NNP,O,of,IN,O,outsid,IN,lowercase,outside,lowercase,of,257,capitalized,Asia,B-geo
5632,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,B-geo,asia,NNP,O,of,IN,lowercase,of,capitalized,Asia,257,punct,.,O
5633,the,head,of,IN,lowercase,of,NN,lowercase,head,DT,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,258,capitalized,The,O
5634,head,of,the,DT,lowercase,the,IN,lowercase,of,NN,O,the,DT,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,The,258,lowercase,head,O
5635,of,the,u.n.,NNP,abbreviation,U.N.,DT,lowercase,the,IN,O,head,NN,O,the,DT,capitalized,The,lowercase,head,258,lowercase,of,O
5636,the,u.n.,investig,NN,lowercase,investigation,NNP,abbreviation,U.N.,DT,O,of,IN,O,head,NN,lowercase,head,lowercase,of,258,lowercase,the,O
5637,u.n.,investig,into,IN,lowercase,into,NN,lowercase,investigation,NNP,O,the,DT,O,of,IN,lowercase,of,lowercase,the,258,abbreviation,U.N.,B-org
5638,investig,into,the,DT,lowercase,the,IN,lowercase,into,NN,B-org,u.n.,NNP,O,the,DT,lowercase,the,abbreviation,U.N.,258,lowercase,investigation,O
5639,into,the,iraq,NNP,capitalized,Iraq,DT,lowercase,the,IN,O,investig,NN,B-org,u.n.,NNP,abbreviation,U.N.,lowercase,investigation,258,lowercase,into,O
5640,the,iraq,oil-for-food,NN,contains-hyphen,oil-for-food,NNP,capitalized,Iraq,DT,O,into,IN,O,investig,NN,lowercase,investigation,lowercase,into,258,lowercase,the,O
